Designator,Mid X,Mid Y,Rotation,Layer
C1,172.25,-103.75,270.0,top
C10,147.6,-92.65,90.0,top
C11,148.75,-97.0,270.0,top
C12,192.25,-108.25,0.0,top
C13,181.1,-109.4,90.0,top
C14,180.75,-95.75,180.0,top
C15,176.5,-89.25,90.0,top
C16,169.75,-103.75,270.0,top
C17,156.25,-91.25,180.0,top
C18,157.75,-88.25,90.0,top
C19,160.25,-101.0,270.0,top
C2,163.25,-84.0,0.0,top
C20,169.75,-85.5,90.0,top
C21,164.75,-107.25,180.0,top
C22,135.0,-98.0,180.0,top
C23,139.0,-97.5,90.0,top
C24,146.5,-113.5,270.0,top
C25,157.25,-110.0,90.0,top
C26,142.25,-107.5,270.0,top
C27,152.75,-104.25,90.0,top
C3,164.25,-104.0,270.0,top
C31,161.5,-105.0,270.0,top
C4,163.25,-86.25,0.0,top
C5,160.25,-88.25,90.0,top
C6,174.25,-88.5,90.0,top
C7,157.75,-97.0,180.0,top
C8,154.5,-97.75,90.0,top
C9,151.6,-89.65,180.0,top
D1,157.5625,-103.75,180.0,top
D2,184.25,-108.25,0.0,top
D3,189.5,-119.5,180.0,top
D5,164.25,-111.25,270.0,top
FB1,152.0,-97.75,90.0,top
J1,192.925,-92.82,90.0,top
J10,189.2,-102.73,0.0,top
J11,134.48,-118.5,90.0,top
J2,176.5,-114.19,0.0,top
J3,161.67,-118.25,90.0,top
J4,184.25,-73.25,90.0,top
J5,127.75,-98.21,180.0,top
J6,149.69,-72.75,270.0,top
J7,171.0,-73.25,90.0,top
J8,194.75,-102.755,180.0,top
J9,194.25,-78.46,180.0,top
R1,144.5,-94.5,180.0,top
R10,139.75,-107.5,90.0,top
R11,141.5,-104.25,180.0,top
R12,134.25,-111.5,270.0,top
R13,144.0,-113.5,90.0,top
R14,161.0,-109.0,0.0,top
R15,145.75,-110.25,180.0,top
R16,157.25,-107.0,0.0,top
R17,133.75,-107.5,90.0,top
R18,136.5,-107.5,90.0,top
R19,136.8875,-104.25,180.0,top
R2,185.5,-95.0,180.0,top
R20,136.75,-111.5,270.0,top
R21,138.5,-114.75,180.0,top
R22,139.25,-111.5,90.0,top
R23,141.75,-111.5,90.0,top
R24,188.5,-108.25,180.0,top
R25,130.75,-111.25,270.0,top
R26,184.0,-119.5,0.0,top
R3,160.5,-79.5,180.0,top
R4,185.75,-89.25,90.0,top
R5,166.75,-76.25,0.0,top
R6,170.75,-76.25,180.0,top
R7,137.25,-100.5,180.0,top
R8,141.75,-99.8375,270.0,top
R9,130.75,-107.5,90.0,top
S1,145.5,-98.55,270.0,top
SW1,160.272284,-76.179217,180.0,top
U1,167.5,-94.825,270.0,top
U2,186.75,-113.5,0.0,top
U3,180.3625,-92.8,180.0,top
U4,147.75,-105.75,0.0,top
U5,151.75,-111.5,0.0,top
Y1,151.25,-92.75,180.0,top
